timestamp,line_id,train_id,wagon_id,axle_id,track_km,speed_kmh,load_ton,lat,lon,next_station,at_station,vib_x_rms_g,vib_y_rms_g,vib_z_rms_g,vib_peak_g,vib_kurtosis,vib_crest_factor,vib_dom_freq_hz,acoustic_rms,acoustic_peak_freq_hz,axle_box_temp_c,brake_temp_c,motor_temp_c,ambient_temp_c,motor_current_a,motor_voltage_v,humidity_pct,fault_type,fault_severity
2026-08-14 10:44:00,M1A,M1A-03,V1,A1,1.756,7.2,38.1,40.9893,28.8368,Ataköy - Şirinevler,False,0.031,0.0325,0.0304,0.0804,2.9363,2.824,2.1683,0.0105,487.7716,35.8308,38.9824,67.5517,22.6718,164.8318,759.4049,57.5586,normal,none
2026-08-14 10:44:00,M1A,M1A-03,V1,A2,1.756,7.2,25.2,40.9893,28.8368,Ataköy - Şirinevler,False,0.0308,0.0201,0.0318,0.0759,3.0321,2.7989,2.3454,0.0073,491.8131,36.5654,33.6714,69.8986,24.267,129.7913,753.1238,43.8052,normal,none
2026-08-14 10:44:00,M1A,M1A-03,V2,A1,1.756,7.2,31.0,40.9893,28.8368,Ataköy - Şirinevler,False,0.0223,0.0242,0.0332,0.0629,3.1086,2.7875,2.1821,0.0082,413.6321,34.2195,35.6615,60.7903,24.9497,144.6464,755.374,41.5812,normal,none
2026-08-14 10:44:00,M1A,M1A-03,V2,A2,1.756,7.2,28.4,40.9893,28.8368,Ataköy - Şirinevler,False,0.0252,0.0301,0.0402,0.0757,2.6325,2.8712,1.8912,0.008,451.3347,36.3606,39.1732,65.6382,22.5192,130.9797,751.3317,37.5378,normal,none
2026-08-14 10:44:00,M2,M2-01,V1,A1,2.287,7.2,32.9,41.0225,28.9665,Şişhane - Zemin İstanbul,False,0.0276,0.028,0.0333,0.0662,3.1716,2.7713,1.7613,0.0075,454.0274,36.3543,40.4273,66.7498,23.3591,149.1859,753.128,43.4533,normal,none
2026-08-14 10:44:00,M2,M2-01,V1,A2,2.287,7.2,33.3,41.0225,28.9665,Şişhane - Zemin İstanbul,False,0.0203,0.0318,0.0239,0.0871,2.9246,2.7893,2.0418,0.0103,463.5101,37.4768,43.297,60.0658,25.0012,147.3209,750.2582,52.6258,normal,none
2026-08-14 10:44:00,M2,M2-01,V2,A1,2.287,7.2,34.6,41.0225,28.9665,Şişhane - Zemin İstanbul,False,0.0088,0.025,0.0326,0.0581,3.2464,2.9395,2.2465,0.01,525.2426,32.2042,40.5751,68.9874,25.5601,147.1187,750.9278,39.386,normal,none
2026-08-14 10:44:00,M2,M2-01,V2,A2,2.287,7.2,34.7,41.0225,28.9665,Şişhane - Zemin İstanbul,False,0.019,0.0227,0.0343,0.0767,3.1777,2.7737,2.1972,0.0116,487.4815,36.2245,40.6519,62.7655,22.095,148.3016,755.1995,36.9213,normal,none
2026-08-14 10:44:00,M3,M3-06,V1,A1,9.002,7.2,29.7,41.0977,28.7912,Şehir Hastanesi,False,0.0208,0.0297,0.0341,0.0826,2.826,3.0214,2.4812,0.009,541.5212,36.4059,42.4083,60.016,22.3776,131.3352,761.3772,46.0036,normal,none
2026-08-14 10:44:00,M3,M3-06,V1,A2,9.002,7.2,31.2,41.0977,28.7912,Şehir Hastanesi,False,0.0292,0.0193,0.0387,0.0643,2.7132,2.9467,2.4335,0.0119,542.987,38.1071,46.2592,68.4897,25.7979,139.1764,750.5013,42.4464,normal,none
2026-08-14 10:44:00,M3,M3-06,V2,A1,9.002,7.2,29.7,41.0977,28.7912,Şehir Hastanesi,False,0.0318,0.0301,0.0267,0.0696,2.8925,2.5222,2.5348,0.0109,537.7873,38.307,42.2465,61.8499,27.7278,137.0941,740.3971,43.7191,normal,none
2026-08-14 10:44:00,M3,M3-06,V2,A2,9.002,7.2,34.5,41.0977,28.7912,Şehir Hastanesi,False,0.0209,0.0225,0.0342,0.0736,2.957,2.9327,1.8794,0.0068,544.7744,37.5575,43.9882,64.6532,23.4628,160.6749,756.3781,41.8642,normal,none
2026-08-14 10:44:00,M4,M4-02,V1,A1,6.843,7.2,29.6,40.9847,29.0904,Kozyatağı,False,0.0244,0.0257,0.0303,0.0644,2.8955,2.7807,2.7535,0.0101,567.6908,36.5556,42.4364,64.6499,23.8292,138.638,746.0772,42.0699,normal,none
2026-08-14 10:44:00,M4,M4-02,V1,A2,6.843,7.2,28.5,40.9847,29.0904,Kozyatağı,False,0.0197,0.0186,0.0409,0.0638,2.8529,2.7155,2.091,0.0107,444.4026,34.9537,38.2498,59.0061,23.2887,139.1737,751.4757,48.3596,normal,none
2026-08-14 10:44:00,M4,M4-02,V2,A1,6.843,7.2,33.0,40.9847,29.0904,Kozyatağı,False,0.0231,0.0226,0.0295,0.0834,3.0374,2.8685,2.0821,0.0063,459.5463,36.1949,40.8166,64.1968,24.9437,141.7138,754.5339,54.0866,normal,none
2026-08-14 10:44:00,M4,M4-02,V2,A2,6.843,7.2,34.0,40.9847,29.0904,Kozyatağı,False,0.0253,0.0213,0.0291,0.077,2.9442,2.7668,2.4234,0.0095,451.2623,37.1072,40.1902,61.4585,25.1628,144.3308,748.3558,43.2922,normal,none
2026-08-14 10:44:00,M5,M5-04,V1,A1,6.062,7.2,26.3,41.0216,29.1183,Yamanevler,False,0.0169,0.0207,0.0338,0.0881,2.9831,2.8997,2.2585,0.0126,485.5472,33.9657,41.5728,58.9745,22.8358,122.0623,747.4444,39.9982,normal,none
2026-08-14 10:44:00,M5,M5-04,V1,A2,6.062,7.2,29.2,41.0216,29.1183,Yamanevler,False,0.0233,0.0261,0.0299,0.0673,2.7998,2.8665,2.1722,0.0084,518.2411,36.602,37.775,61.035,25.6535,130.4547,764.239,48.5692,normal,none
2026-08-14 10:44:00,M5,M5-04,V2,A1,6.062,7.2,20.5,41.0216,29.1183,Yamanevler,False,0.0303,0.0125,0.0284,0.0844,3.1277,2.9361,2.1011,0.0122,441.566,35.2472,37.337,66.8521,26.9565,113.5635,747.9941,47.867,normal,none
2026-08-14 10:44:00,M5,M5-04,V2,A2,6.062,7.2,22.3,41.0216,29.1183,Yamanevler,False,0.0281,0.0149,0.0399,0.0718,3.491,2.6127,2.717,0.0112,559.2114,37.136,42.1099,63.595,24.5054,122.3203,752.2115,44.4125,normal,none
2026-08-14 10:44:00,M7,M7-05,V1,A1,11.376,7.2,24.6,41.0791,28.9497,Nurtepe,False,0.0296,0.0146,0.0426,0.0651,2.9313,2.7939,2.659,0.0074,500.7066,37.1314,38.4287,61.798,22.6403,113.4993,749.1726,45.0419,normal,none
2026-08-14 10:44:00,M7,M7-05,V1,A2,11.376,7.2,31.0,41.0791,28.9497,Nurtepe,False,0.0276,0.0163,0.04,0.0789,2.9926,3.0739,2.6108,0.0119,501.1128,32.9536,40.9225,65.587,24.0871,138.1457,750.0774,48.2469,normal,none
2026-08-14 10:44:00,M7,M7-05,V2,A1,11.376,7.2,33.7,41.0791,28.9497,Nurtepe,False,0.019,0.0245,0.0343,0.0751,2.9116,2.8543,2.0359,0.0134,530.9736,38.5186,42.262,65.0364,24.7785,155.5495,754.7218,42.1502,normal,none
2026-08-14 10:44:00,M7,M7-05,V2,A2,11.376,7.2,22.9,41.0791,28.9497,Nurtepe,False,0.0212,0.0154,0.0365,0.0778,2.7885,2.9185,2.3005,0.0105,466.6805,34.5938,42.2386,67.2085,22.0915,112.3042,756.4639,54.3029,normal,none
2026-08-14 10:44:00,M8,M8-07,V1,A1,4.74,7.2,30.7,40.9921,29.1533,Kayışdağı,False,0.0175,0.0185,0.0288,0.0735,2.9889,2.823,2.341,0.0068,491.2168,35.3568,35.425,56.1756,25.5171,146.2381,746.4216,43.4071,normal,none
2026-08-14 10:44:00,M8,M8-07,V1,A2,4.74,7.2,37.9,40.9921,29.1533,Kayışdağı,False,0.0234,0.0212,0.0381,0.067,2.7367,2.9351,2.0005,0.0132,402.0346,37.6638,39.2529,62.5549,26.1112,167.6548,754.4601,56.3229,normal,none
2026-08-14 10:44:00,M8,M8-07,V2,A1,4.74,7.2,28.5,40.9921,29.1533,Kayışdağı,False,0.0303,0.0189,0.0429,0.0604,2.9286,2.7607,2.0407,0.0138,526.2707,35.7589,45.744,65.1865,22.7837,130.1688,752.2347,44.6362,normal,none
2026-08-14 10:44:00,M8,M8-07,V2,A2,4.74,7.2,30.2,40.9921,29.1533,Kayışdağı,False,0.0198,0.0238,0.0421,0.065,2.8765,3.0263,2.1259,0.0137,501.3478,35.9001,39.1404,64.5327,26.0245,135.1723,745.8467,32.2688,normal,none
